"equipos","pagerank"
"EEUU",431.452252533044
"Costa Rica",396.535534362094
"México",384.098577603398
"Honduras",377.563562736388
"Francia",369.049653710789
"Irán",313.663286566422
"República de Corea",233.273428493737
"Países Bajos",198.715309281424
"España",179.87601945802
"Uruguay",145.148331259235
"Argentina",125.508388977952
"Chile",124.852021815145
"Costa de Marfil",105.366128899455
"Italia",101.82340352604
"Colombia",91.7349394450816
"Ghana",90.9080175771745
"Bélgica",90.8867032267068
"Alemania",89.2936017073632
"Nigeria",88.1185534314279
"Camerún",87.4951622126468
"Suiza",81.7956429009086
"Ecuador",80.0491092991107
"Australia",78.8751113344353
"Argelia",78.4249166950099
"Inglaterra",66.1507607231934
"Portugal",58.9005528797038
"Japón",55.4839682304973
"Rusia",43.9209588874099
"Grecia",36.4105483463758
"Brasil",34.4961644274599
"Croacia",30.939237716862
"Bosnia y Herzegovina",27.7677132914587
