home,away,area,scoreHome,scoreAway
Nigeria,Argentina,matches,2,3
Bosnia y Herzegovina,Irán,matches,3,1
Honduras,Suiza,matches,0,3
Ecuador,Francia,matches,0,0
EEUU,Alemania,matches,0,1
Portugal,Ghana,matches,2,1
República de Corea,Bélgica,matches,0,1
Argelia,Rusia,matches,1,1
EEUU,Alemania,matches,0,1
Brasil,Croacia,matches,3,1
México,Camerún,matches,1,0
España,Países Bajos,matches,1,5
Chile,Australia,matches,3,1
Colombia,Grecia,matches,3,0
Uruguay,Costa Rica,matches,1,3
Inglaterra,Italia,matches,1,2
Costa de Marfil,Japón,matches,2,1
Suiza,Ecuador,matches,2,1
Nigeria,Argentina,nccamerica,2,3
Bosnia y Herzegovina,Irán,nccamerica,3,1
Honduras,Suiza,nccamerica,0,3
Ecuador,Francia,nccamerica,0,0
EEUU,Alemania,nccamerica,0,1
Portugal,Ghana,nccamerica,2,1
República de Corea,Bélgica,nccamerica,0,1
Argelia,Rusia,nccamerica,1,1
EEUU,Alemania,nccamerica,0,1
Nueva Zelanda,México,nccamerica,2,4
Nigeria,Argentina,southamerica,2,3
Bosnia y Herzegovina,Irán,southamerica,3,1
Honduras,Suiza,southamerica,0,3
Ecuador,Francia,southamerica,0,0
EEUU,Alemania,southamerica,0,1
Portugal,Ghana,southamerica,2,1
República de Corea,Bélgica,southamerica,0,1
Argelia,Rusia,southamerica,1,1
EEUU,Alemania,southamerica,0,1
Nigeria,Argentina,africa,2,3
Bosnia y Herzegovina,Irán,africa,3,1
Honduras,Suiza,africa,0,3
Ecuador,Francia,africa,0,0
EEUU,Alemania,africa,0,1
Portugal,Ghana,africa,2,1
República de Corea,Bélgica,africa,0,1
Argelia,Rusia,africa,1,1
EEUU,Alemania,africa,0,1
Francia,Honduras,matches,3,0
Argentina,Bosnia y Herzegovina,matches,2,1
Alemania,Portugal,matches,4,0
Irán,Nigeria,matches,0,0
Ghana,EEUU,matches,1,2
Bélgica,Argelia,matches,2,1
Brasil,México,matches,0,0
Rusia,República de Corea,matches,1,1
Australia,Países Bajos,matches,2,3
México,Nueva Zelanda,nccamerica,5,1
Jamaica,Honduras,nccamerica,2,2
Panamá,EEUU,nccamerica,2,3
Costa Rica,México,nccamerica,2,1
México,Panamá,nccamerica,2,1
EEUU,Jamaica,nccamerica,2,0
Honduras,Costa Rica,nccamerica,1,0
EEUU,México,nccamerica,2,0
Honduras,Panamá,nccamerica,2,2
Jamaica,Costa Rica,nccamerica,1,1
Uruguay,Jordania,southamerica,0,0
Jordania,Uruguay,southamerica,0,5
Uruguay,Argentina,southamerica,3,2
Perú,Bolivia,southamerica,1,1
Paraguay,Colombia,southamerica,1,2
Chile,Ecuador,southamerica,2,1
Argentina,Perú,southamerica,3,1
Venezuela,Paraguay,southamerica,1,1
Ecuador,Uruguay,southamerica,1,0
Colombia,Chile,southamerica,3,3
Argelia,Burkina Faso,africa,1,0
Egipto,Ghana,africa,2,1
Camerún,Túnez,africa,4,1
Senegal,Costa de Marfil,africa,1,1
Nigeria,Etiopía,africa,2,0
Ghana,Egipto,africa,6,1
Túnez,Camerún,africa,0,0
Etiopía,Nigeria,africa,1,2
Costa de Marfil,Senegal,africa,3,1
España,Chile,matches,0,2
Camerún,Croacia,matches,0,4
Colombia,Costa de Marfil,matches,2,1
Uruguay,Inglaterra,matches,2,1
Japón,Grecia,matches,0,0
Italia,Costa Rica,matches,0,1
Suiza,Francia,matches,2,5
Honduras,Ecuador,matches,1,2
Argentina,Irán,matches,1,0
Alemania,Ghana,matches,2,2
Panamá,Jamaica,nccamerica,0,0
México,Honduras,nccamerica,1,2
Costa Rica,EEUU,nccamerica,3,1
Costa Rica,Panamá,nccamerica,2,0
EEUU,Honduras,nccamerica,1,0
EEUU,Panamá,nccamerica,2,0
México,Costa Rica,nccamerica,0,0
Honduras,Jamaica,nccamerica,2,0
Panamá,México,nccamerica,0,0
Jamaica,EEUU,nccamerica,1,2
Paraguay,Argentina,southamerica,2,5
Venezuela,Perú,southamerica,3,2
Uruguay,Colombia,southamerica,2,0
Bolivia,Ecuador,southamerica,1,1
Perú,Uruguay,southamerica,1,2
Chile,Venezuela,southamerica,3,0
Paraguay,Bolivia,southamerica,4,0
Colombia,Ecuador,southamerica,1,0
Chile,Bolivia,southamerica,3,1
Venezuela,Uruguay,southamerica,0,1
Burkina Faso,Argelia,africa,3,2
Argelia,Mali,africa,1,0
Egipto,Guinea,africa,4,2
Sudán,Lesoto,africa,1,3
Benín,Ruanda,africa,2,0
Kenia,Namibia,africa,1,0
Camerún,Libia,africa,1,0
Togo,RD del Congo,africa,2,1
Zimbabue,Mozambique,africa,1,1
Senegal,Uganda,africa,1,0
Nigeria,Bosnia y Herzegovina,matches,1,0
Bélgica,Rusia,matches,1,0
República de Corea,Argelia,matches,2,4
EEUU,Portugal,matches,2,2
Países Bajos,Chile,matches,2,0
Australia,España,matches,0,3
Camerún,Brasil,matches,1,4
Croacia,México,matches,1,3
Italia,Uruguay,matches,0,1
Costa Rica,Inglaterra,matches,0,0
Costa Rica,Honduras,nccamerica,1,0
Jamaica,México,nccamerica,0,1
Panamá,Honduras,nccamerica,2,0
México,EEUU,nccamerica,0,0
Costa Rica,Jamaica,nccamerica,2,0
Jamaica,Panamá,nccamerica,1,1
